SeriousDlqin2yrs,age,NumberOfTime30-59DaysPastDueNotWorse,MonthlyIncome,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,24,0,4802.0,0,0,0.0
0,74,0,3601.0,2,0,0.0
0,49,0,10300.0,1,0,0.0
0,45,0,5000.0,1,0,0.0
0,34,0,1400.0,0,0,1.0
0,56,3,13600.0,2,0,0.0
0,57,0,7137.0,1,0,0.0
0,54,0,9582.0,1,0,0.0
0,48,0,0.0,0,0,0.0
0,41,0,8000.0,2,0,1.0
0,38,0,1900.0,0,0,0.0
0,55,0,9000.0,2,0,2.0
0,37,0,5010.0,1,1,2.0
0,46,0,6293.0,2,0,0.0
0,79,0,12500.0,2,0,0.0
0,39,0,7083.0,2,0,2.0
0,40,0,4500.0,2,0,4.0
0,55,0,10000.0,3,0,0.0
0,47,0,5400.0,0,0,2.0
0,60,0,3666.0,2,0,0.0
0,35,0,4600.0,1,0,0.0
0,72,0,2448.0,1,0,0.0
0,38,0,5400.0,1,0,0.0
0,58,0,6927.0,3,0,0.0
0,51,0,5910.0,0,0,0.0
0,51,0,14416.0,5,0,0.0
0,44,0,16000.0,0,0,0.0
0,80,0,3764.0,0,0,0.0
0,56,0,5333.0,1,0,3.0
0,43,0,6325.0,2,0,1.0
1,27,0,2677.0,3,0,1.0
0,52,0,9800.0,2,0,1.0
0,32,0,3000.0,0,0,1.0
0,39,2,2400.0,0,2,1.0
0,68,0,11000.0,2,0,1.0
0,50,0,11128.0,2,0,2.0
0,69,0,2549.0,0,0,0.0
0,53,0,10000.0,1,0,1.0
0,51,0,6500.0,1,0,2.0
1,53,0,2500.0,0,1,0.0
0,36,0,8572.0,1,0,0.0
0,60,0,5160.0,4,0,0.0
0,60,0,5220.0,2,0,0.0
0,66,0,7000.0,1,0,1.0
0,81,2,3512.0,1,0,0.0
0,58,0,5750.0,0,0,0.0
0,28,0,1500.0,0,0,0.0
0,66,0,7500.0,1,0,0.0
0,44,1,8333.0,2,0,1.0
0,46,0,7404.0,1,0,3.0
1,36,3,1900.0,0,1,2.0
0,52,0,2908.0,0,0,0.0
0,33,0,3300.0,2,0,0.0
0,28,2,6200.0,0,0,0.0
0,37,0,3426.0,0,0,0.0
0,49,0,1500.0,2,0,0.0
0,47,1,7000.0,0,0,2.0
0,71,0,4300.0,1,0,0.0
0,57,0,14200.0,2,0,0.0
0,23,0,820.0,0,0,0.0
0,38,0,4038.0,1,0,1.0
0,80,1,10058.0,2,0,0.0
1,52,0,13075.0,2,2,1.0
0,52,0,4800.0,0,0,0.0
0,48,0,13139.0,4,0,1.0
0,22,0,864.0,0,0,0.0
1,35,2,4174.0,2,0,0.0
0,74,0,3000.0,0,0,0.0
0,79,0,2100.0,0,0,0.0
0,30,0,2350.0,0,0,0.0
0,40,0,4100.0,0,0,2.0
0,27,0,3400.0,0,0,0.0
1,66,0,6000.0,0,1,0.0
0,48,0,4739.0,1,0,0.0
0,35,0,4734.0,2,0,3.0
0,65,2,1635.0,0,0,1.0
0,41,0,6080.0,2,0,1.0
0,40,1,3007.0,1,0,1.0
